time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT
0.0017,0.033,-0.0127,-0.2614,-0.329,0.0158,-0.0176
0.0033,0.033,-0.0127,-0.2614,-0.3291,0.0158,-0.0176
0.005,0.033,-0.0127,-0.2614,-0.3291,0.0158,-0.0176
0.0067,0.033,-0.0127,-0.2614,-0.3291,0.0158,-0.0176
0.0083,0.033,-0.0127,-0.2615,-0.3292,0.0159,-0.0176
0.01,0.033,-0.0127,-0.2615,-0.3292,0.0159,-0.0176
0.0117,0.033,-0.0127,-0.2615,-0.3292,0.0159,-0.0176
0.0133,0.033,-0.0127,-0.2615,-0.3293,0.0159,-0.0176
0.015,0.033,-0.0127,-0.2616,-0.3293,0.0159,-0.0176
0.0167,0.033,-0.0127,-0.2616,-0.3293,0.0159,-0.0176
0.0183,0.0331,-0.0127,-0.2616,-0.3293,0.0159,-0.0176
0.02,0.0331,-0.0127,-0.2616,-0.3293,0.0159,-0.0176
0.0217,0.0331,-0.0127,-0.2617,-0.3294,0.0159,-0.0176
0.0233,0.0331,-0.0127,-0.2617,-0.3294,0.0159,-0.0176
0.025,0.0331,-0.0127,-0.2617,-0.3294,0.0159,-0.0176
0.0267,0.0331,-0.0127,-0.2617,-0.3293,0.0159,-0.0176
0.0283,0.0331,-0.0128,-0.2617,-0.3293,0.0159,-0.0176
0.03,0.0331,-0.0128,-0.2617,-0.3293,0.0159,-0.0176
0.0317,0.0331,-0.0128,-0.2617,-0.3292,0.0158,-0.0176
0.0333,0.033,-0.0128,-0.2616,-0.3292,0.0158,-0.0176
0.035,0.033,-0.0128,-0.2616,-0.3291,0.0158,-0.0176
0.0367,0.033,-0.0128,-0.2616,-0.3291,0.0157,-0.0176
0.0383,0.033,-0.0128,-0.2615,-0.329,0.0157,-0.0176
0.04,0.033,-0.0129,-0.2615,-0.3289,0.0156,-0.0176
0.0417,0.033,-0.0129,-0.2614,-0.3288,0.0156,-0.0177
0.0433,0.033,-0.0129,-0.2613,-0.3287,0.0155,-0.0177
0.045,0.033,-0.0129,-0.2613,-0.3285,0.0155,-0.0177
0.0467,0.033,-0.0129,-0.2612,-0.3284,0.0154,-0.0177
0.0483,0.0329,-0.0129,-0.2611,-0.3283,0.0154,-0.0178
0.05,0.0329,-0.0129,-0.261,-0.3282,0.0153,-0.0178
0.0517,0.0329,-0.0129,-0.2609,-0.3281,0.0153,-0.0178
0.0533,0.0329,-0.0129,-0.2608,-0.328,0.0153,-0.0178
0.055,0.0329,-0.0129,-0.2607,-0.3279,0.0153,-0.0178
0.0567,0.0329,-0.0129,-0.2606,-0.3279,0.0152,-0.0179
0.0583,0.0329,-0.0129,-0.2606,-0.3278,0.0152,-0.0179
0.06,0.0329,-0.0129,-0.2605,-0.3278,0.0153,-0.0179
0.0617,0.0329,-0.0128,-0.2605,-0.3279,0.0153,-0.0179
0.0633,0.0329,-0.0128,-0.2605,-0.3279,0.0154,-0.0179
0.065,0.0329,-0.0128,-0.2605,-0.328,0.0154,-0.0179
0.0667,0.0329,-0.0127,-0.2605,-0.3282,0.0155,-0.0179
0.0683,0.0329,-0.0127,-0.2606,-0.3283,0.0156,-0.0178
0.07,0.0329,-0.0126,-0.2607,-0.3285,0.0157,-0.0178
0.0717,0.0329,-0.0126,-0.2608,-0.3288,0.0159,-0.0177
0.0733,0.033,-0.0125,-0.2609,-0.3291,0.016,-0.0177
0.075,0.033,-0.0124,-0.2611,-0.3294,0.0162,-0.0176
0.0767,0.0331,-0.0124,-0.2614,-0.3298,0.0164,-0.0176
0.0783,0.0331,-0.0123,-0.2616,-0.3302,0.0166,-0.0175
0.08,0.0331,-0.0123,-0.2619,-0.3306,0.0168,-0.0174
0.0817,0.0332,-0.0122,-0.2622,-0.331,0.0169,-0.0173
0.0833,0.0333,-0.0122,-0.2625,-0.3314,0.0171,-0.0172
0.085,0.0333,-0.0122,-0.2628,-0.3319,0.0173,-0.0171
0.0867,0.0334,-0.0122,-0.2632,-0.3323,0.0174,-0.0171
0.0883,0.0334,-0.0122,-0.2635,-0.3326,0.0176,-0.017
0.09,0.0335,-0.0122,-0.2638,-0.3329,0.0177,-0.0169
0.0917,0.0335,-0.0122,-0.2641,-0.3332,0.0177,-0.0168
0.0933,0.0336,-0.0123,-0.2644,-0.3334,0.0177,-0.0168
0.095,0.0336,-0.0124,-0.2646,-0.3334,0.0177,-0.0167
0.0967,0.0336,-0.0125,-0.2648,-0.3334,0.0176,-0.0167
0.0983,0.0336,-0.0126,-0.2649,-0.3333,0.0174,-0.0167
0.1,0.0336,-0.0127,-0.2649,-0.333,0.0172,-0.0167
0.1017,0.0336,-0.0128,-0.2649,-0.3326,0.017,-0.0168
0.1033,0.0335,-0.013,-0.2647,-0.3321,0.0166,-0.0168
0.105,0.0335,-0.0132,-0.2645,-0.3314,0.0162,-0.017
0.1067,0.0334,-0.0134,-0.2641,-0.3306,0.0157,-0.0171
0.1083,0.0333,-0.0136,-0.2636,-0.3296,0.0152,-0.0173
0.11,0.0331,-0.0138,-0.263,-0.3284,0.0146,-0.0175
0.1117,0.033,-0.014,-0.2623,-0.3272,0.014,-0.0177
0.1133,0.0328,-0.0142,-0.2614,-0.3258,0.0133,-0.0179
0.115,0.0326,-0.0144,-0.2605,-0.3244,0.0126,-0.0182
0.1167,0.0325,-0.0145,-0.2595,-0.3229,0.012,-0.0185
0.1183,0.0323,-0.0146,-0.2583,-0.3214,0.0113,-0.0188
0.12,0.032,-0.0148,-0.2572,-0.3199,0.0107,-0.0192
0.1217,0.0318,-0.0148,-0.256,-0.3184,0.0101,-0.0195
0.1233,0.0316,-0.0148,-0.2547,-0.317,0.0096,-0.0198
0.125,0.0314,-0.0148,-0.2536,-0.3158,0.0092,-0.0201
0.1267,0.0313,-0.0147,-0.2524,-0.3148,0.0089,-0.0204
0.1283,0.0311,-0.0146,-0.2514,-0.314,0.0088,-0.0206
0.13,0.031,-0.0143,-0.2505,-0.3135,0.0088,-0.0208
0.1317,0.0309,-0.014,-0.2498,-0.3134,0.009,-0.0209
0.1333,0.0309,-0.0137,-0.2493,-0.3137,0.0094,-0.021
0.135,0.0309,-0.0132,-0.249,-0.3144,0.0101,-0.021
0.1367,0.031,-0.0127,-0.2491,-0.3156,0.011,-0.0208
0.1383,0.0311,-0.0122,-0.2495,-0.3173,0.0121,-0.0206
0.14,0.0313,-0.0115,-0.2502,-0.3195,0.0135,-0.0203
0.1417,0.0316,-0.0109,-0.2514,-0.3223,0.0151,-0.0199
0.1433,0.0319,-0.0102,-0.253,-0.3257,0.0169,-0.0193
0.145,0.0323,-0.0094,-0.255,-0.3295,0.0189,-0.0186
0.1467,0.0328,-0.0087,-0.2574,-0.3338,0.0212,-0.0179
0.1483,0.0334,-0.008,-0.2603,-0.3386,0.0235,-0.017
0.15,0.034,-0.0073,-0.2635,-0.3437,0.026,-0.016
0.1517,0.0347,-0.0067,-0.2671,-0.349,0.0284,-0.015
0.1533,0.0354,-0.0062,-0.271,-0.3545,0.0309,-0.0138
0.155,0.0361,-0.0057,-0.2752,-0.36,0.0333,-0.0127
0.1567,0.0369,-0.0055,-0.2795,-0.3654,0.0355,-0.0115
0.1583,0.0377,-0.0053,-0.2839,-0.3704,0.0375,-0.0104
0.16,0.0384,-0.0054,-0.2882,-0.3749,0.0391,-0.0093
0.1617,0.0391,-0.0057,-0.2923,-0.3787,0.0403,-0.0083
0.1633,0.0397,-0.0062,-0.2961,-0.3816,0.041,-0.0074
0.165,0.0402,-0.007,-0.2993,-0.3834,0.0411,-0.0068
0.1667,0.0406,-0.0081,-0.3019,-0.3837,0.0405,-0.0063
0.1683,0.0408,-0.0095,-0.3037,-0.3825,0.0392,-0.0061
0.17,0.0409,-0.0111,-0.3045,-0.3795,0.0369,-0.0062
0.1717,0.0407,-0.0131,-0.304,-0.3744,0.0338,-0.0067
0.1733,0.0404,-0.0154,-0.3022,-0.3671,0.0297,-0.0075
0.175,0.0398,-0.0179,-0.2987,-0.3575,0.0245,-0.0088
0.1767,0.0389,-0.0208,-0.2936,-0.3453,0.0184,-0.0106
0.1783,0.0377,-0.0238,-0.2866,-0.3304,0.0112,-0.0128
0.18,0.0363,-0.0271,-0.2775,-0.3129,0.003,-0.0156
0.1817,0.0345,-0.0306,-0.2663,-0.2926,-0.0061,-0.0189
0.1833,0.0325,-0.0341,-0.2529,-0.2696,-0.0161,-0.0227
0.185,0.0302,-0.0377,-0.2373,-0.2439,-0.0269,-0.027
0.1867,0.0277,-0.0414,-0.2193,-0.2157,-0.0383,-0.0318
0.1883,0.025,-0.0449,-0.1991,-0.1851,-0.0503,-0.0371
0.19,0.022,-0.0483,-0.1767,-0.1524,-0.0625,-0.0427
0.1917,0.0189,-0.0515,-0.1521,-0.1178,-0.0749,-0.0487
0.1933,0.0158,-0.0544,-0.1256,-0.0815,-0.0872,-0.0549
0.195,0.0126,-0.0569,-0.0972,-0.0441,-0.0993,-0.0614
0.1967,0.0094,-0.059,-0.0673,-0.0057,-0.1107,-0.0679
0.1983,0.0064,-0.0606,-0.036,0.0331,-0.1215,-0.0743
0.2,0.0035,-0.0617,-0.0035,0.0719,-0.1312,-0.0807
0.2017,0.0009,-0.0621,0.0297,0.1105,-0.1397,-0.0867
0.2033,-0.0013,-0.0619,0.0635,0.1482,-0.1468,-0.0924
0.205,-0.0032,-0.061,0.0975,0.1848,-0.1523,-0.0975
0.2067,-0.0045,-0.0595,0.1314,0.2199,-0.1561,-0.102
0.2083,-0.0052,-0.0572,0.165,0.2532,-0.1581,-0.1057
0.21,-0.0054,-0.0543,0.1979,0.2845,-0.1582,-0.1085
0.2117,-0.0048,-0.0508,0.2298,0.3134,-0.1565,-0.1103
0.2133,-0.0036,-0.0467,0.2607,0.3399,-0.153,-0.1109
0.215,-0.0017,-0.0421,0.2902,0.3639,-0.1478,-0.1103
0.2167,0.0009,-0.037,0.3182,0.3853,-0.141,-0.1084
0.2183,0.0041,-0.0315,0.3445,0.4042,-0.1329,-0.1052
0.22,0.0079,-0.0258,0.3692,0.4206,-0.1236,-0.1005
0.2217,0.0123,-0.0197,0.3919,0.4346,-0.1135,-0.0944
0.2233,0.017,-0.0136,0.4128,0.4463,-0.1028,-0.0868
0.225,0.022,-0.0073,0.4318,0.4561,-0.0918,-0.0777
0.2267,0.0272,-0.0011,0.449,0.4641,-0.0807,-0.0673
0.2283,0.0325,0.005,0.4642,0.4706,-0.0699,-0.0555
0.23,0.0377,0.011,0.4777,0.4757,-0.0594,-0.0425
0.2317,0.0428,0.0169,0.4894,0.4799,-0.0496,-0.0284
0.2333,0.0475,0.0224,0.4994,0.4833,-0.0406,-0.0133
0.235,0.0519,0.0277,0.5079,0.4862,-0.0325,0.0025
0.2367,0.0559,0.0327,0.5148,0.4888,-0.0253,0.0189
0.2383,0.0593,0.0374,0.5203,0.4913,-0.0191,0.0357
0.24,0.0621,0.0417,0.5245,0.494,-0.014,0.0525
0.2417,0.0644,0.0457,0.5275,0.497,-0.0097,0.0692
0.2433,0.066,0.0493,0.5295,0.5003,-0.0062,0.0854
0.245,0.0669,0.0526,0.5304,0.5042,-0.0033,0.1008
0.2467,0.0671,0.0554,0.5305,0.5086,-0.0009,0.1153
0.2483,0.0667,0.0579,0.5298,0.5137,0.0013,0.1284
0.25,0.0655,0.0599,0.5284,0.5193,0.0034,0.1401
0.2517,0.0637,0.0615,0.5264,0.5256,0.0057,0.1501
0.2533,0.0611,0.0627,0.5239,0.5323,0.0084,0.1583
0.255,0.0578,0.0635,0.521,0.5395,0.0116,0.1645
0.2567,0.0538,0.0638,0.5176,0.5471,0.0154,0.1686
0.2583,0.0491,0.0636,0.514,0.5548,0.0199,0.1706
0.26,0.0436,0.063,0.5099,0.5627,0.0252,0.1706
0.2617,0.0374,0.0619,0.5056,0.5704,0.0312,0.1686
0.2633,0.0305,0.0604,0.5009,0.5779,0.0378,0.1646
0.265,0.0228,0.0583,0.4958,0.585,0.0449,0.1589
0.2667,0.0144,0.0559,0.4904,0.5915,0.0523,0.1515
0.2683,0.0053,0.0531,0.4845,0.5973,0.0598,0.1427
0.27,-0.0044,0.0499,0.4781,0.6021,0.0671,0.1326
0.2717,-0.0148,0.0464,0.4713,0.6059,0.074,0.1215
0.2733,-0.0257,0.0427,0.4639,0.6085,0.0802,0.1096
0.275,-0.0371,0.0388,0.4559,0.6098,0.0855,0.097
0.2767,-0.049,0.0348,0.4475,0.6097,0.0898,0.0841
0.2783,-0.0613,0.0307,0.4385,0.6082,0.0927,0.0711
0.28,-0.0738,0.0267,0.4289,0.6051,0.0943,0.0582
0.2817,-0.0864,0.0228,0.419,0.6006,0.0942,0.0455
0.2833,-0.099,0.0192,0.4086,0.5946,0.0926,0.0333
0.285,-0.1116,0.0158,0.3979,0.5871,0.0895,0.0218
0.2867,-0.1239,0.0129,0.387,0.5784,0.0848,0.0111
0.2883,-0.1359,0.0104,0.3759,0.5684,0.0787,0.0013
0.29,-0.1474,0.0084,0.3649,0.5574,0.0713,-0.0073
0.2917,-0.1583,0.007,0.354,0.5455,0.0629,-0.0149
0.2933,-0.1684,0.0062,0.3435,0.533,0.0536,-0.0212
0.295,-0.1776,0.006,0.3334,0.52,0.0438,-0.0263
0.2967,-0.1859,0.0064,0.3239,0.5069,0.0336,-0.0301
0.2983,-0.1931,0.0074,0.3152,0.4938,0.0234,-0.0326
0.3,-0.1991,0.009,0.3074,0.4811,0.0134,-0.0339
0.3017,-0.2039,0.011,0.3007,0.4689,0.0038,-0.034
0.3033,-0.2074,0.0136,0.2953,0.4577,-0.005,-0.033
0.305,-0.2095,0.0165,0.2912,0.4475,-0.0129,-0.0309
0.3067,-0.2104,0.0197,0.2886,0.4386,-0.0196,-0.0279
0.3083,-0.2099,0.0231,0.2875,0.4312,-0.025,-0.024
0.31,-0.2082,0.0266,0.2881,0.4255,-0.0289,-0.0194
0.3117,-0.2052,0.0302,0.2904,0.4215,-0.0313,-0.0141
0.3133,-0.201,0.0337,0.2945,0.4194,-0.0319,-0.0082
0.315,-0.1957,0.0371,0.3002,0.4192,-0.0308,-0.0019
0.3167,-0.1893,0.0403,0.3076,0.4208,-0.028,0.0047
0.3183,-0.1821,0.0433,0.3166,0.4243,-0.0234,0.0115
0.32,-0.174,0.0459,0.3271,0.4294,-0.0172,0.0185
0.3217,-0.1652,0.0482,0.3389,0.4362,-0.0094,0.0255
0.3233,-0.1558,0.0502,0.352,0.4443,-0.0001,0.0324
0.325,-0.1459,0.0517,0.3662,0.4536,0.0105,0.0392
0.3267,-0.1356,0.0529,0.3811,0.4638,0.0223,0.0458
0.3283,-0.125,0.0538,0.3967,0.4748,0.0351,0.0521
0.33,-0.1141,0.0544,0.4127,0.4862,0.0486,0.0581
0.3317,-0.103,0.0547,0.4287,0.4977,0.0628,0.0637
0.3333,-0.0918,0.0547,0.4447,0.5092,0.0774,0.0689
0.335,-0.0806,0.0546,0.4602,0.5203,0.0921,0.0736
0.3367,-0.0693,0.0543,0.4752,0.5309,0.1068,0.0778
0.3383,-0.058,0.054,0.4893,0.5406,0.1213,0.0815
0.34,-0.0467,0.0537,0.5024,0.5495,0.1353,0.0846
0.3417,-0.0355,0.0533,0.5143,0.5572,0.1486,0.0871
0.3433,-0.0243,0.0531,0.5248,0.5636,0.1611,0.0889
0.345,-0.0132,0.053,0.5339,0.5688,0.1726,0.09
0.3467,-0.0022,0.053,0.5415,0.5725,0.1829,0.0903
0.3483,0.0086,0.0531,0.5476,0.5749,0.1919,0.0897
0.35,0.0193,0.0534,0.552,0.5759,0.1995,0.0883
0.3517,0.0296,0.0538,0.5549,0.5756,0.2055,0.086
0.3533,0.0396,0.0543,0.5563,0.574,0.2098,0.0827
0.355,0.0492,0.0549,0.5563,0.5712,0.2125,0.0785
0.3567,0.0582,0.0556,0.5548,0.5674,0.2135,0.0733
0.3583,0.0667,0.0562,0.5521,0.5627,0.2127,0.0672
0.36,0.0744,0.0568,0.5482,0.5573,0.2104,0.0602
0.3617,0.0814,0.0573,0.5432,0.5512,0.2066,0.0523
0.3633,0.0874,0.0576,0.5373,0.5448,0.2014,0.0436
0.365,0.0925,0.0577,0.5304,0.538,0.195,0.0341
0.3667,0.0965,0.0576,0.5227,0.5312,0.1876,0.024
0.3683,0.0993,0.0571,0.5144,0.5245,0.1795,0.0133
0.37,0.1009,0.0563,0.5054,0.518,0.1708,0.0022
0.3717,0.1014,0.0552,0.4959,0.5119,0.1619,-0.0092
0.3733,0.1006,0.0536,0.486,0.5063,0.153,-0.0208
0.375,0.0985,0.0517,0.4757,0.5013,0.1444,-0.0324
0.3767,0.0953,0.0494,0.465,0.497,0.1363,-0.044
0.3783,0.091,0.0468,0.4541,0.4934,0.1289,-0.0553
0.38,0.0856,0.0438,0.4431,0.4905,0.1225,-0.0663
0.3817,0.0792,0.0405,0.4319,0.4885,0.1171,-0.0769
0.3833,0.0721,0.0369,0.4207,0.4872,0.1129,-0.0869
0.385,0.0642,0.0332,0.4095,0.4866,0.11,-0.0963
0.3867,0.0558,0.0292,0.3985,0.4867,0.1083,-0.1049
0.3883,0.047,0.0252,0.3876,0.4874,0.1079,-0.1129
0.39,0.038,0.0212,0.3769,0.4886,0.1087,-0.1201
0.3917,0.0289,0.0172,0.3667,0.4902,0.1106,-0.1264
0.3933,0.0198,0.0133,0.3568,0.4922,0.1135,-0.132
0.395,0.0109,0.0096,0.3474,0.4942,0.1173,-0.1368
0.3967,0.0024,0.006,0.3387,0.4964,0.1218,-0.1409
0.3983,-0.0057,0.0027,0.3306,0.4986,0.1269,-0.1442
0.4,-0.0133,-0.0004,0.3232,0.5005,0.1324,-0.1469
0.4017,-0.0202,-0.0032,0.3168,0.5023,0.1382,-0.1491
0.4033,-0.0263,-0.0056,0.3112,0.5037,0.1441,-0.1507
0.405,-0.0317,-0.0078,0.3066,0.5047,0.1501,-0.1518
0.4067,-0.0362,-0.0097,0.3031,0.5052,0.1559,-0.1526
0.4083,-0.0397,-0.0112,0.3006,0.5052,0.1616,-0.1531
0.41,-0.0424,-0.0125,0.2993,0.5046,0.167,-0.1534
0.4117,-0.0441,-0.0135,0.2991,0.5033,0.1721,-0.1535
0.4133,-0.0448,-0.0142,0.3,0.5014,0.1767,-0.1535
0.415,-0.0446,-0.0146,0.302,0.4988,0.1809,-0.1535
0.4167,-0.0436,-0.0147,0.3051,0.4955,0.1846,-0.1534
0.4183,-0.0417,-0.0146,0.3092,0.4916,0.1877,-0.1534
0.42,-0.0391,-0.0142,0.3141,0.4869,0.1901,-0.1534
0.4217,-0.0358,-0.0136,0.3198,0.4817,0.1919,-0.1535
0.4233,-0.032,-0.0127,0.3261,0.4758,0.193,-0.1536
0.425,-0.0279,-0.0115,0.3329,0.4693,0.1933,-0.1537
0.4267,-0.0234,-0.0101,0.3401,0.4623,0.1927,-0.1539
0.4283,-0.0189,-0.0084,0.3473,0.4548,0.1912,-0.154
0.43,-0.0143,-0.0065,0.3546,0.4469,0.1887,-0.1539
0.4317,-0.0098,-0.0044,0.3617,0.4386,0.1852,-0.1538
0.4333,-0.0056,-0.002,0.3685,0.4301,0.1806,-0.1534
0.435,-0.0016,0.0005,0.3748,0.4214,0.1748,-0.1527
0.4367,0.002,0.0031,0.3805,0.4126,0.1679,-0.1517
0.4383,0.0052,0.0058,0.3855,0.4038,0.1597,-0.1502
0.44,0.0081,0.0086,0.3898,0.395,0.1503,-0.1483
0.4417,0.0107,0.0113,0.3932,0.3864,0.1398,-0.1458
0.4433,0.0129,0.0139,0.3958,0.378,0.1282,-0.1427
0.445,0.015,0.0163,0.3976,0.3699,0.1156,-0.1389
0.4467,0.0171,0.0185,0.3986,0.3622,0.1022,-0.1345
0.4483,0.0192,0.0204,0.3989,0.3549,0.088,-0.1293
0.45,0.0214,0.0219,0.3985,0.3481,0.0734,-0.1235
0.4517,0.024,0.023,0.3975,0.3419,0.0584,-0.117
0.4533,0.0271,0.0235,0.3962,0.3363,0.0434,-0.1098
0.455,0.0307,0.0234,0.3945,0.3313,0.0286,-0.1021
0.4567,0.0351,0.0227,0.3926,0.327,0.0143,-0.0938
0.4583,0.0402,0.0214,0.3907,0.3233,0.0006,-0.0851
0.46,0.0461,0.0194,0.3889,0.3203,-0.0121,-0.0761
0.4617,0.0529,0.0168,0.3873,0.318,-0.0237,-0.0669
0.4633,0.0604,0.0136,0.386,0.3163,-0.0339,-0.0577
0.465,0.0688,0.0098,0.3852,0.3151,-0.0425,-0.0486
0.4667,0.0779,0.0055,0.3849,0.3146,-0.0495,-0.0398
0.4683,0.0876,0.0007,0.3852,0.3146,-0.0548,-0.0315
0.47,0.0979,-0.0043,0.3861,0.315,-0.0582,-0.0237
0.4717,0.1084,-0.0095,0.3876,0.3158,-0.0599,-0.0168
0.4733,0.1191,-0.0147,0.3898,0.3171,-0.0599,-0.0107
0.475,0.1298,-0.0198,0.3926,0.3186,-0.0582,-0.0057
0.4767,0.1403,-0.0246,0.396,0.3203,-0.055,-0.0019
0.4783,0.1504,-0.029,0.3998,0.3223,-0.0505,0.0007
0.48,0.16,-0.0327,0.4041,0.3244,-0.0449,0.002
0.4817,0.1687,-0.0357,0.4087,0.3266,-0.0384,0.0019
0.4833,0.1766,-0.0379,0.4134,0.3289,-0.0312,0.0006
0.485,0.1834,-0.039,0.4181,0.3312,-0.0237,-0.0021
0.4867,0.1891,-0.0391,0.4227,0.3335,-0.016,-0.006
0.4883,0.1935,-0.038,0.4269,0.3358,-0.0084,-0.011
0.49,0.1966,-0.0358,0.4306,0.3379,-0.0012,-0.0169
0.4917,0.1984,-0.0325,0.4335,0.34,0.0054,-0.0237
0.4933,0.1989,-0.0281,0.4356,0.3419,0.0112,-0.0312
0.495,0.1981,-0.0227,0.4366,0.3436,0.0159,-0.0391
0.4967,0.1961,-0.0164,0.4364,0.3451,0.0194,-0.0473
0.4983,0.193,-0.0094,0.4349,0.3464,0.0215,-0.0556
0.5,0.1888,-0.0019,0.4318,0.3474,0.0221,-0.0637
0.5017,0.1837,0.006,0.4272,0.3481,0.0211,-0.0716
0.5033,0.1778,0.0141,0.4211,0.3485,0.0185,-0.0789
0.505,0.1713,0.022,0.4133,0.3485,0.0142,-0.0856
0.5067,0.1644,0.0297,0.4039,0.348,0.0084,-0.0915
0.5083,0.1572,0.0369,0.3931,0.3471,0.0011,-0.0965
0.51,0.15,0.0434,0.3808,0.3456,-0.0075,-0.1004
0.5117,0.1428,0.0491,0.3674,0.3436,-0.0173,-0.1033
0.5133,0.1358,0.0537,0.3529,0.3411,-0.0281,-0.105
0.515,0.1293,0.0571,0.3377,0.338,-0.0396,-0.1056
0.5167,0.1233,0.0593,0.3219,0.3343,-0.0516,-0.105
0.5183,0.1179,0.0602,0.3058,0.3301,-0.0638,-0.1032
0.52,0.1132,0.0598,0.2899,0.3253,-0.0759,-0.1004
0.5217,0.1093,0.058,0.2743,0.3199,-0.0878,-0.0964
0.5233,0.1061,0.055,0.2594,0.314,-0.0991,-0.0915
0.525,0.1037,0.0508,0.2455,0.3076,-0.1098,-0.0857
0.5267,0.102,0.0455,0.2329,0.3009,-0.1195,-0.0791
0.5283,0.1008,0.0392,0.2219,0.2937,-0.1281,-0.0717
0.53,0.1002,0.0322,0.2127,0.2863,-0.1356,-0.0638
0.5317,0.0999,0.0245,0.2056,0.2787,-0.1417,-0.0554
0.5333,0.0998,0.0164,0.2007,0.2709,-0.1466,-0.0465
0.535,0.0996,0.008,0.1982,0.2632,-0.1501,-0.0374
0.5367,0.0994,-0.0004,0.198,0.2555,-0.1523,-0.028
0.5383,0.0988,-0.0086,0.2004,0.248,-0.1531,-0.0185
0.54,0.0978,-0.0166,0.2053,0.2409,-0.1527,-0.0091
0.5417,0.0961,-0.024,0.2125,0.2342,-0.151,0.0003
0.5433,0.0937,-0.0308,0.222,0.228,-0.1482,0.0095
0.545,0.0905,-0.0369,0.2337,0.2225,-0.1442,0.0185
0.5467,0.0865,-0.0421,0.2472,0.2177,-0.1393,0.0271
0.5483,0.0815,-0.0464,0.2624,0.2139,-0.1334,0.0353
0.55,0.0756,-0.0498,0.2789,0.2111,-0.1267,0.0431
0.5517,0.0689,-0.0522,0.2965,0.2094,-0.1193,0.0503
0.5533,0.0614,-0.0537,0.3147,0.2089,-0.1112,0.057
0.555,0.0531,-0.0544,0.3332,0.2097,-0.1026,0.063
0.5567,0.0443,-0.0543,0.3516,0.2119,-0.0935,0.0685
0.5583,0.035,-0.0535,0.3694,0.2155,-0.0841,0.0735
0.56,0.0254,-0.0522,0.3864,0.2206,-0.0746,0.0779
0.5617,0.0156,-0.0505,0.4021,0.2271,-0.065,0.0818
0.5633,0.0058,-0.0486,0.4161,0.2351,-0.0555,0.0852
0.565,-0.0038,-0.0465,0.4283,0.2445,-0.0463,0.0884
0.5667,-0.0132,-0.0444,0.4382,0.2552,-0.0376,0.0912
0.5683,-0.0221,-0.0425,0.4458,0.2672,-0.0296,0.0939
0.57,-0.0305,-0.0408,0.4508,0.2802,-0.0225,0.0964
0.5717,-0.0382,-0.0395,0.4532,0.2943,-0.0167,0.0989
0.5733,-0.0452,-0.0386,0.453,0.3091,-0.0122,0.1014
0.575,-0.0514,-0.0382,0.4503,0.3245,-0.0095,0.104
0.5767,-0.0567,-0.0382,0.4452,0.3404,-0.0087,0.1066
0.5783,-0.0612,-0.0387,0.4379,0.3564,-0.0101,0.1093
0.58,-0.0648,-0.0397,0.4287,0.3724,-0.0139,0.1121
0.5817,-0.0676,-0.0412,0.4179,0.3881,-0.0203,0.1148
0.5833,-0.0697,-0.043,0.406,0.4034,-0.0295,0.1174
0.585,-0.0711,-0.0452,0.3933,0.418,-0.0416,0.1199
0.5867,-0.0718,-0.0477,0.3802,0.4317,-0.0565,0.122
0.5883,-0.0722,-0.0503,0.3672,0.4444,-0.0744,0.1237
0.59,-0.0721,-0.0531,0.3548,0.4559,-0.095,0.1248
0.5917,-0.0718,-0.0559,0.3433,0.4659,-0.1182,0.1251
0.5933,-0.0713,-0.0586,0.333,0.4745,-0.1437,0.1247
0.595,-0.0709,-0.0613,0.3244,0.4813,-0.1714,0.1232
0.5967,-0.0705,-0.0639,0.3176,0.4864,-0.2007,0.1207
0.5983,-0.0704,-0.0662,0.3129,0.4897,-0.2312,0.1169
0.6,-0.0706,-0.0684,0.3104,0.4911,-0.2626,0.1119
0.6017,-0.0712,-0.0704,0.3103,0.4905,-0.2942,0.1055
0.6033,-0.0722,-0.0721,0.3125,0.488,-0.3255,0.0978
0.605,-0.0738,-0.0737,0.317,0.4836,-0.3561,0.0888
0.6067,-0.0759,-0.0751,0.3237,0.4774,-0.3852,0.0784
0.6083,-0.0785,-0.0763,0.3326,0.4694,-0.4123,0.0669
0.61,-0.0817,-0.0775,0.3434,0.4598,-0.437,0.0543
0.6117,-0.0854,-0.0787,0.356,0.4488,-0.4586,0.0407
0.6133,-0.0895,-0.0798,0.3701,0.4366,-0.4767,0.0262
0.615,-0.0939,-0.081,0.3856,0.4233,-0.4909,0.0111
0.6167,-0.0986,-0.0822,0.4022,0.4093,-0.5007,-0.0045
0.6183,-0.1034,-0.0835,0.4195,0.3948,-0.506,-0.0205
0.62,-0.1082,-0.0849,0.4375,0.3802,-0.5064,-0.0366
0.6217,-0.113,-0.0864,0.4558,0.3657,-0.5017,-0.0527
0.6233,-0.1175,-0.088,0.4741,0.3516,-0.492,-0.0685
0.625,-0.1216,-0.0896,0.4923,0.3384,-0.4772,-0.084
0.6267,-0.1254,-0.0913,0.51,0.3262,-0.4573,-0.0989
0.6283,-0.1287,-0.093,0.5271,0.3154,-0.4325,-0.1131
0.63,-0.1314,-0.0947,0.5432,0.3062,-0.4031,-0.1265
0.6317,-0.1335,-0.0963,0.5583,0.2988,-0.3692,-0.1389
