time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.1167,-0.0000,0.0679,-0.1924,-0.0062,0.0876,-0.1003,
0.1183,-0.0002,0.0672,-0.1914,-0.0063,0.0878,-0.1003,
0.1200,-0.0004,0.0666,-0.1905,-0.0065,0.0880,-0.1003,
0.1217,-0.0006,0.0660,-0.1895,-0.0067,0.0882,-0.1003,
0.1233,-0.0009,0.0654,-0.1886,-0.0068,0.0882,-0.1004,
0.1250,-0.0011,0.0648,-0.1878,-0.0070,0.0882,-0.1005,
0.1267,-0.0013,0.0643,-0.1870,-0.0072,0.0881,-0.1007,
0.1283,-0.0016,0.0639,-0.1863,-0.0074,0.0878,-0.1009,
0.1300,-0.0018,0.0635,-0.1859,-0.0075,0.0875,-0.1012,
0.1317,-0.0020,0.0633,-0.1856,-0.0077,0.0870,-0.1016,
0.1333,-0.0022,0.0633,-0.1855,-0.0078,0.0864,-0.1019,
0.1350,-0.0023,0.0634,-0.1856,-0.0079,0.0856,-0.1024,
0.1367,-0.0024,0.0637,-0.1861,-0.0080,0.0848,-0.1028,
0.1383,-0.0025,0.0643,-0.1868,-0.0080,0.0838,-0.1033,
0.1400,-0.0025,0.0650,-0.1879,-0.0080,0.0828,-0.1039,
0.1417,-0.0024,0.0659,-0.1893,-0.0079,0.0816,-0.1044,
0.1433,-0.0023,0.0671,-0.1910,-0.0078,0.0804,-0.1049,
0.1450,-0.0021,0.0685,-0.1931,-0.0076,0.0791,-0.1055,
0.1467,-0.0018,0.0702,-0.1955,-0.0074,0.0778,-0.1059,
0.1483,-0.0014,0.0720,-0.1982,-0.0070,0.0765,-0.1064,
0.1500,-0.0009,0.0740,-0.2012,-0.0067,0.0753,-0.1068,
0.1517,-0.0004,0.0761,-0.2043,-0.0062,0.0741,-0.1071,
0.1533,0.0002,0.0784,-0.2077,-0.0058,0.0731,-0.1072,
0.1550,0.0009,0.0807,-0.2111,-0.0052,0.0723,-0.1073,
0.1567,0.0017,0.0830,-0.2145,-0.0046,0.0716,-0.1072,
0.1583,0.0025,0.0853,-0.2178,-0.0040,0.0713,-0.1070,
0.1600,0.0034,0.0875,-0.2209,-0.0034,0.0712,-0.1066,
0.1617,0.0043,0.0894,-0.2237,-0.0027,0.0715,-0.1060,
0.1633,0.0052,0.0911,-0.2261,-0.0020,0.0721,-0.1053,
0.1650,0.0060,0.0923,-0.2278,-0.0014,0.0732,-0.1043,
0.1667,0.0069,0.0932,-0.2289,-0.0008,0.0747,-0.1031,
0.1683,0.0077,0.0935,-0.2291,-0.0003,0.0767,-0.1018,
0.1700,0.0083,0.0931,-0.2282,0.0002,0.0791,-0.1002,
0.1717,0.0089,0.0921,-0.2263,0.0005,0.0819,-0.0985,
0.1733,0.0093,0.0902,-0.2230,0.0008,0.0852,-0.0967,
0.1750,0.0096,0.0875,-0.2183,0.0009,0.0889,-0.0947,
0.1767,0.0096,0.0838,-0.2122,0.0008,0.0929,-0.0927,
0.1783,0.0094,0.0792,-0.2044,0.0006,0.0972,-0.0906,
0.1800,0.0089,0.0736,-0.1949,0.0001,0.1017,-0.0886,
0.1817,0.0082,0.0670,-0.1838,-0.0005,0.1064,-0.0865,
0.1833,0.0072,0.0593,-0.1708,-0.0014,0.1110,-0.0847,
0.1850,0.0060,0.0507,-0.1561,-0.0025,0.1154,-0.0829,
0.1867,0.0044,0.0412,-0.1397,-0.0037,0.1196,-0.0815,
0.1883,0.0026,0.0308,-0.1217,-0.0052,0.1233,-0.0803,
0.1900,0.0005,0.0197,-0.1021,-0.0069,0.1264,-0.0796,
0.1917,-0.0019,0.0079,-0.0810,-0.0087,0.1287,-0.0793,
0.1933,-0.0044,-0.0043,-0.0587,-0.0106,0.1300,-0.0795,
0.1950,-0.0071,-0.0169,-0.0353,-0.0126,0.1302,-0.0802,
0.1967,-0.0099,-0.0296,-0.0110,-0.0147,0.1290,-0.0817,
0.1983,-0.0128,-0.0422,0.0139,-0.0167,0.1263,-0.0837,
0.2000,-0.0156,-0.0546,0.0392,-0.0187,0.1219,-0.0865,
0.2017,-0.0184,-0.0665,0.0647,-0.0205,0.1156,-0.0900,
0.2033,-0.0209,-0.0778,0.0901,-0.0221,0.1074,-0.0942,
0.2050,-0.0232,-0.0881,0.1152,-0.0234,0.0970,-0.0992,
0.2067,-0.0252,-0.0974,0.1397,-0.0244,0.0846,-0.1048,
0.2083,-0.0267,-0.1054,0.1634,-0.0249,0.0699,-0.1111,
0.2100,-0.0277,-0.1120,0.1861,-0.0248,0.0530,-0.1180,
0.2117,-0.0282,-0.1170,0.2076,-0.0242,0.0340,-0.1254,
0.2133,-0.0280,-0.1205,0.2278,-0.0230,0.0130,-0.1332,
0.2150,-0.0271,-0.1223,0.2466,-0.0210,-0.0100,-0.1414,
0.2167,-0.0256,-0.1224,0.2639,-0.0183,-0.0347,-0.1497,
0.2183,-0.0233,-0.1209,0.2796,-0.0149,-0.0610,-0.1581,
0.2200,-0.0203,-0.1178,0.2938,-0.0107,-0.0884,-0.1664,
0.2217,-0.0166,-0.1133,0.3064,-0.0058,-0.1168,-0.1745,
0.2233,-0.0122,-0.1073,0.3174,-0.0003,-0.1457,-0.1823,
0.2250,-0.0073,-0.1002,0.3270,0.0059,-0.1748,-0.1895,
0.2267,-0.0018,-0.0920,0.3351,0.0127,-0.2037,-0.1962,
0.2283,0.0042,-0.0830,0.3419,0.0198,-0.2318,-0.2021,
0.2300,0.0105,-0.0733,0.3475,0.0273,-0.2589,-0.2072,
0.2317,0.0171,-0.0632,0.3519,0.0348,-0.2844,-0.2114,
0.2333,0.0239,-0.0529,0.3552,0.0424,-0.3080,-0.2146,
0.2350,0.0307,-0.0426,0.3576,0.0498,-0.3292,-0.2169,
0.2367,0.0375,-0.0324,0.3592,0.0569,-0.3476,-0.2181,
0.2383,0.0441,-0.0226,0.3599,0.0635,-0.3630,-0.2183,
0.2400,0.0505,-0.0134,0.3599,0.0694,-0.3751,-0.2173,
0.2417,0.0564,-0.0049,0.3592,0.0745,-0.3837,-0.2152,
0.2433,0.0619,0.0027,0.3580,0.0787,-0.3885,-0.2120,
0.2450,0.0667,0.0092,0.3562,0.0818,-0.3896,-0.2074,
0.2467,0.0708,0.0145,0.3539,0.0838,-0.3869,-0.2016,
0.2483,0.0740,0.0186,0.3511,0.0846,-0.3804,-0.1945,
0.2500,0.0763,0.0213,0.3479,0.0841,-0.3703,-0.1859,
0.2517,0.0775,0.0227,0.3443,0.0824,-0.3567,-0.1758,
0.2533,0.0777,0.0226,0.3404,0.0795,-0.3400,-0.1641,
0.2550,0.0766,0.0211,0.3361,0.0753,-0.3202,-0.1508,
0.2567,0.0744,0.0181,0.3317,0.0701,-0.2979,-0.1358,
0.2583,0.0709,0.0139,0.3270,0.0637,-0.2733,-0.1190,
0.2600,0.0662,0.0083,0.3221,0.0564,-0.2468,-0.1003,
0.2617,0.0602,0.0015,0.3171,0.0483,-0.2189,-0.0799,
0.2633,0.0531,-0.0065,0.3121,0.0395,-0.1899,-0.0575,
0.2650,0.0448,-0.0154,0.3071,0.0302,-0.1604,-0.0334,
0.2667,0.0355,-0.0252,0.3021,0.0205,-0.1307,-0.0076,
0.2683,0.0253,-0.0358,0.2973,0.0107,-0.1013,0.0199,
0.2700,0.0144,-0.0470,0.2926,0.0008,-0.0725,0.0489,
0.2717,0.0028,-0.0586,0.2881,-0.0089,-0.0449,0.0792,
0.2733,-0.0091,-0.0705,0.2838,-0.0183,-0.0187,0.1107,
0.2750,-0.0212,-0.0826,0.2798,-0.0271,0.0057,0.1431,
0.2767,-0.0332,-0.0947,0.2760,-0.0353,0.0280,0.1763,
0.2783,-0.0450,-0.1067,0.2726,-0.0426,0.0479,0.2100,
0.2800,-0.0562,-0.1183,0.2695,-0.0490,0.0651,0.2440,
0.2817,-0.0667,-0.1296,0.2668,-0.0542,0.0795,0.2779,
0.2833,-0.0762,-0.1403,0.2644,-0.0584,0.0909,0.3116,
0.2850,-0.0845,-0.1504,0.2623,-0.0613,0.0991,0.3448,
0.2867,-0.0914,-0.1596,0.2606,-0.0629,0.1040,0.3773,
0.2883,-0.0968,-0.1680,0.2592,-0.0632,0.1057,0.4087,
0.2900,-0.1005,-0.1755,0.2581,-0.0623,0.1040,0.4388,
0.2917,-0.1025,-0.1818,0.2573,-0.0601,0.0992,0.4675,
0.2933,-0.1028,-0.1871,0.2567,-0.0567,0.0911,0.4945,
0.2950,-0.1013,-0.1911,0.2564,-0.0523,0.0802,0.5196,
0.2967,-0.0981,-0.1939,0.2563,-0.0469,0.0664,0.5428,
0.2983,-0.0932,-0.1954,0.2564,-0.0407,0.0502,0.5639,
0.3000,-0.0869,-0.1957,0.2567,-0.0338,0.0319,0.5829,
0.3017,-0.0793,-0.1946,0.2571,-0.0264,0.0118,0.5996,
0.3033,-0.0706,-0.1923,0.2577,-0.0187,-0.0097,0.6143,
0.3050,-0.0609,-0.1887,0.2583,-0.0108,-0.0321,0.6267,
0.3067,-0.0506,-0.1839,0.2591,-0.0029,-0.0549,0.6372,
0.3083,-0.0398,-0.1779,0.2598,0.0048,-0.0776,0.6456,
0.3100,-0.0287,-0.1709,0.2606,0.0122,-0.0997,0.6523,
0.3117,-0.0176,-0.1629,0.2615,0.0190,-0.1208,0.6572,
0.3133,-0.0068,-0.1540,0.2623,0.0252,-0.1403,0.6606,
0.3150,0.0037,-0.1443,0.2632,0.0306,-0.1579,0.6625,
0.3167,0.0136,-0.1340,0.2640,0.0350,-0.1732,0.6632,
0.3183,0.0227,-0.1232,0.2648,0.0384,-0.1858,0.6627,
0.3200,0.0310,-0.1121,0.2655,0.0406,-0.1955,0.6613,
0.3217,0.0384,-0.1007,0.2662,0.0417,-0.2021,0.6589,
