time,R-AP,L-AP,R-ML,L-ML,R-VT,L-VT,
0.1433,0.0352,0.0119,-0.1709,0.0017,0.0021,0.0342,
0.1450,0.0352,0.0113,-0.1730,0.0016,0.0040,0.0342,
0.1467,0.0353,0.0107,-0.1753,0.0015,0.0060,0.0343,
0.1483,0.0354,0.0100,-0.1779,0.0014,0.0081,0.0346,
0.1500,0.0356,0.0093,-0.1806,0.0013,0.0103,0.0351,
0.1517,0.0359,0.0085,-0.1835,0.0013,0.0126,0.0358,
0.1533,0.0363,0.0078,-0.1865,0.0013,0.0148,0.0368,
0.1550,0.0367,0.0070,-0.1894,0.0013,0.0170,0.0381,
0.1567,0.0373,0.0063,-0.1923,0.0014,0.0190,0.0395,
0.1583,0.0379,0.0056,-0.1951,0.0016,0.0208,0.0413,
0.1600,0.0385,0.0050,-0.1975,0.0017,0.0224,0.0432,
0.1617,0.0393,0.0045,-0.1996,0.0020,0.0235,0.0453,
0.1633,0.0400,0.0042,-0.2012,0.0022,0.0242,0.0477,
0.1650,0.0409,0.0039,-0.2021,0.0026,0.0244,0.0502,
0.1667,0.0417,0.0039,-0.2024,0.0029,0.0240,0.0527,
0.1683,0.0425,0.0041,-0.2018,0.0033,0.0228,0.0553,
0.1700,0.0433,0.0045,-0.2002,0.0038,0.0210,0.0579,
0.1717,0.0441,0.0052,-0.1976,0.0042,0.0183,0.0604,
0.1733,0.0448,0.0061,-0.1939,0.0047,0.0148,0.0628,
0.1750,0.0454,0.0073,-0.1888,0.0052,0.0105,0.0649,
0.1767,0.0458,0.0089,-0.1825,0.0057,0.0052,0.0667,
0.1783,0.0461,0.0107,-0.1748,0.0062,-0.0009,0.0681,
0.1800,0.0462,0.0128,-0.1657,0.0067,-0.0079,0.0689,
0.1817,0.0461,0.0152,-0.1552,0.0071,-0.0156,0.0692,
0.1833,0.0457,0.0179,-0.1433,0.0074,-0.0241,0.0688,
0.1850,0.0451,0.0209,-0.1301,0.0077,-0.0331,0.0677,
0.1867,0.0441,0.0240,-0.1156,0.0078,-0.0426,0.0657,
0.1883,0.0429,0.0273,-0.1000,0.0079,-0.0525,0.0629,
0.1900,0.0413,0.0308,-0.0833,0.0078,-0.0625,0.0591,
0.1917,0.0393,0.0342,-0.0658,0.0075,-0.0724,0.0543,
0.1933,0.0370,0.0377,-0.0476,0.0071,-0.0821,0.0486,
0.1950,0.0344,0.0411,-0.0289,0.0064,-0.0913,0.0419,
0.1967,0.0314,0.0443,-0.0099,0.0056,-0.0998,0.0342,
0.1983,0.0281,0.0473,0.0091,0.0046,-0.1073,0.0256,
0.2000,0.0245,0.0500,0.0279,0.0034,-0.1137,0.0162,
0.2017,0.0206,0.0523,0.0462,0.0019,-0.1186,0.0059,
0.2033,0.0164,0.0541,0.0639,0.0003,-0.1219,-0.0050,
0.2050,0.0121,0.0553,0.0807,-0.0015,-0.1233,-0.0164,
0.2067,0.0075,0.0559,0.0965,-0.0035,-0.1228,-0.0284,
0.2083,0.0028,0.0558,0.1110,-0.0057,-0.1202,-0.0406,
0.2100,-0.0020,0.0550,0.1241,-0.0080,-0.1155,-0.0530,
0.2117,-0.0069,0.0535,0.1358,-0.0104,-0.1086,-0.0655,
0.2133,-0.0118,0.0511,0.1459,-0.0129,-0.0996,-0.0779,
0.2150,-0.0167,0.0480,0.1545,-0.0155,-0.0885,-0.0901,
0.2167,-0.0216,0.0441,0.1615,-0.0180,-0.0757,-0.1020,
0.2183,-0.0264,0.0395,0.1671,-0.0205,-0.0612,-0.1135,
0.2200,-0.0311,0.0342,0.1714,-0.0228,-0.0453,-0.1245,
0.2217,-0.0358,0.0283,0.1744,-0.0251,-0.0285,-0.1349,
0.2233,-0.0403,0.0219,0.1765,-0.0271,-0.0111,-0.1447,
0.2250,-0.0447,0.0150,0.1776,-0.0289,0.0066,-0.1538,
0.2267,-0.0489,0.0078,0.1782,-0.0304,0.0240,-0.1620,
0.2283,-0.0530,0.0004,0.1783,-0.0317,0.0408,-0.1693,
0.2300,-0.0570,-0.0072,0.1784,-0.0326,0.0565,-0.1757,
0.2317,-0.0609,-0.0147,0.1785,-0.0331,0.0706,-0.1809,
0.2333,-0.0646,-0.0220,0.1789,-0.0332,0.0830,-0.1848,
0.2350,-0.0682,-0.0291,0.1798,-0.0330,0.0930,-0.1874,
0.2367,-0.0716,-0.0358,0.1815,-0.0324,0.1006,-0.1884,
0.2383,-0.0750,-0.0419,0.1841,-0.0314,0.1055,-0.1877,
0.2400,-0.0782,-0.0475,0.1878,-0.0301,0.1075,-0.1851,
0.2417,-0.0812,-0.0524,0.1925,-0.0285,0.1065,-0.1805,
0.2433,-0.0841,-0.0564,0.1985,-0.0266,0.1026,-0.1738,
0.2450,-0.0869,-0.0597,0.2057,-0.0244,0.0957,-0.1647,
0.2467,-0.0894,-0.0620,0.2141,-0.0221,0.0862,-0.1533,
0.2483,-0.0918,-0.0635,0.2236,-0.0196,0.0740,-0.1394,
0.2500,-0.0939,-0.0641,0.2341,-0.0170,0.0596,-0.1232,
0.2517,-0.0957,-0.0638,0.2455,-0.0143,0.0431,-0.1047,
0.2533,-0.0973,-0.0626,0.2575,-0.0117,0.0251,-0.0840,
0.2550,-0.0985,-0.0607,0.2701,-0.0090,0.0057,-0.0615,
0.2567,-0.0994,-0.0582,0.2829,-0.0064,-0.0144,-0.0373,
0.2583,-0.1000,-0.0550,0.2957,-0.0040,-0.0349,-0.0120,
0.2600,-0.1002,-0.0513,0.3083,-0.0016,-0.0554,0.0142,
0.2617,-0.1001,-0.0473,0.3204,0.0006,-0.0755,0.0408,
0.2633,-0.0996,-0.0430,0.3316,0.0026,-0.0947,0.0672,
0.2650,-0.0987,-0.0385,0.3419,0.0044,-0.1126,0.0929,
0.2667,-0.0974,-0.0340,0.3510,0.0060,-0.1289,0.1173,
0.2683,-0.0958,-0.0296,0.3587,0.0074,-0.1434,0.1400,
0.2700,-0.0938,-0.0254,0.3649,0.0086,-0.1556,0.1604,
0.2717,-0.0916,-0.0214,0.3694,0.0095,-0.1655,0.1782,
0.2733,-0.0890,-0.0178,0.3723,0.0103,-0.1728,0.1928,
0.2750,-0.0862,-0.0146,0.3734,0.0108,-0.1774,0.2041,
0.2767,-0.0832,-0.0119,0.3729,0.0112,-0.1793,0.2117,
0.2783,-0.0800,-0.0097,0.3706,0.0114,-0.1785,0.2155,
0.2800,-0.0767,-0.0081,0.3669,0.0115,-0.1749,0.2155,
0.2817,-0.0732,-0.0069,0.3618,0.0114,-0.1688,0.2116,
0.2833,-0.0697,-0.0064,0.3553,0.0112,-0.1602,0.2040,
0.2850,-0.0662,-0.0063,0.3478,0.0109,-0.1492,0.1928,
0.2867,-0.0626,-0.0067,0.3394,0.0105,-0.1361,0.1784,
0.2883,-0.0592,-0.0075,0.3303,0.0101,-0.1209,0.1610,
0.2900,-0.0558,-0.0088,0.3206,0.0096,-0.1041,0.1410,
0.2917,-0.0525,-0.0103,0.3106,0.0090,-0.0857,0.1189,
0.2933,-0.0494,-0.0122,0.3006,0.0085,-0.0660,0.0949,
0.2950,-0.0465,-0.0143,0.2905,0.0079,-0.0453,0.0696,
0.2967,-0.0439,-0.0165,0.2808,0.0074,-0.0238,0.0434,
0.2983,-0.0416,-0.0188,0.2714,0.0069,-0.0018,0.0167,
0.3000,-0.0396,-0.0212,0.2627,0.0063,0.0205,-0.0101,
0.3017,-0.0380,-0.0236,0.2546,0.0059,0.0428,-0.0367,
0.3033,-0.0369,-0.0259,0.2474,0.0054,0.0648,-0.0627,
0.3050,-0.0361,-0.0282,0.2411,0.0051,0.0863,-0.0878,
0.3067,-0.0359,-0.0303,0.2358,0.0047,0.1070,-0.1117,
0.3083,-0.0362,-0.0322,0.2316,0.0044,0.1266,-0.1343,
0.3100,-0.0370,-0.0340,0.2285,0.0041,0.1450,-0.1554,
0.3117,-0.0382,-0.0355,0.2264,0.0039,0.1618,-0.1748,
0.3133,-0.0400,-0.0369,0.2255,0.0037,0.1768,-0.1924,
0.3150,-0.0422,-0.0379,0.2255,0.0036,0.1899,-0.2082,
0.3167,-0.0449,-0.0387,0.2266,0.0035,0.2007,-0.2221,
0.3183,-0.0479,-0.0392,0.2285,0.0034,0.2092,-0.2341,
0.3200,-0.0511,-0.0393,0.2313,0.0034,0.2152,-0.2442,
0.3217,-0.0545,-0.0392,0.2348,0.0034,0.2185,-0.2525,
0.3233,-0.0580,-0.0388,0.2389,0.0034,0.2191,-0.2591,
0.3250,-0.0614,-0.0380,0.2434,0.0034,0.2168,-0.2640,
0.3267,-0.0647,-0.0369,0.2483,0.0035,0.2118,-0.2673,
0.3283,-0.0678,-0.0356,0.2534,0.0035,0.2038,-0.2693,
0.3300,-0.0706,-0.0339,0.2586,0.0036,0.1931,-0.2700,
0.3317,-0.0729,-0.0320,0.2638,0.0037,0.1797,-0.2697,
0.3333,-0.0746,-0.0298,0.2689,0.0038,0.1638,-0.2684,
0.3350,-0.0758,-0.0274,0.2738,0.0039,0.1455,-0.2664,
0.3367,-0.0764,-0.0249,0.2783,0.0040,0.1252,-0.2638,
0.3383,-0.0763,-0.0222,0.2826,0.0041,0.1030,-0.2608,
0.3400,-0.0754,-0.0193,0.2864,0.0042,0.0793,-0.2576,
0.3417,-0.0739,-0.0165,0.2898,0.0043,0.0545,-0.2543,
0.3433,-0.0717,-0.0135,0.2927,0.0043,0.0290,-0.2510,
0.3450,-0.0688,-0.0106,0.2952,0.0044,0.0031,-0.2478,
0.3467,-0.0653,-0.0077,0.2973,0.0044,-0.0227,-0.2448,
0.3483,-0.0613,-0.0049,0.2990,0.0045,-0.0481,-0.2420,
0.3500,-0.0568,-0.0022,0.3003,0.0045,-0.0726,-0.2395,
0.3517,-0.0519,0.0004,0.3014,0.0045,-0.0958,-0.2372,
0.3533,-0.0467,0.0030,0.3021,0.0045,-0.1175,-0.2350,
0.3550,-0.0413,0.0053,0.3027,0.0044,-0.1372,-0.2328,
0.3567,-0.0358,0.0076,0.3031,0.0044,-0.1548,-0.2305,
0.3583,-0.0304,0.0096,0.3035,0.0043,-0.1700,-0.2280,
0.3600,-0.0251,0.0116,0.3038,0.0042,-0.1827,-0.2250,
0.3617,-0.0200,0.0133,0.3041,0.0041,-0.1928,-0.2215,
0.3633,-0.0152,0.0150,0.3044,0.0039,-0.2001,-0.2173,
0.3650,-0.0108,0.0164,0.3049,0.0038,-0.2048,-0.2122,
0.3667,-0.0069,0.0178,0.3054,0.0036,-0.2069,-0.2062,
0.3683,-0.0035,0.0190,0.3060,0.0035,-0.2065,-0.1991,
0.3700,-0.0007,0.0200,0.3067,0.0033,-0.2037,-0.1910,
0.3717,0.0015,0.0209,0.3075,0.0032,-0.1987,-0.1818,
0.3733,0.0031,0.0216,0.3084,0.0030,-0.1918,-0.1716,
0.3750,0.0040,0.0222,0.3094,0.0029,-0.1831,-0.1604,
0.3767,0.0043,0.0227,0.3104,0.0028,-0.1730,-0.1485,
0.3783,0.0041,0.0230,0.3115,0.0027,-0.1616,-0.1360,
0.3800,0.0034,0.0231,0.3127,0.0027,-0.1493,-0.1230,
0.3817,0.0023,0.0230,0.3138,0.0026,-0.1363,-0.1098,
0.3833,0.0008,0.0227,0.3150,0.0027,-0.1229,-0.0967,
0.3850,-0.0010,0.0222,0.3161,0.0028,-0.1093,-0.0840,
0.3867,-0.0029,0.0214,0.3173,0.0029,-0.0956,-0.0719,
0.3883,-0.0049,0.0204,0.3184,0.0031,-0.0822,-0.0607,
0.3900,-0.0068,0.0190,0.3195,0.0034,-0.0690,-0.0507,
0.3917,-0.0087,0.0174,0.3205,0.0037,-0.0564,-0.0422,
0.3933,-0.0103,0.0154,0.3216,0.0041,-0.0443,-0.0353,
0.3950,-0.0117,0.0132,0.3225,0.0045,-0.0328,-0.0303,
0.3967,-0.0128,0.0105,0.3235,0.0050,-0.0221,-0.0273,
0.3983,-0.0136,0.0076,0.3243,0.0056,-0.0120,-0.0264,
0.4000,-0.0140,0.0043,0.3252,0.0062,-0.0026,-0.0275,
0.4017,-0.0140,0.0007,0.3259,0.0068,0.0061,-0.0307,
0.4033,-0.0137,-0.0032,0.3266,0.0075,0.0141,-0.0357,
0.4050,-0.0131,-0.0073,0.3273,0.0081,0.0216,-0.0424,
0.4067,-0.0122,-0.0117,0.3279,0.0088,0.0285,-0.0504,
0.4083,-0.0111,-0.0163,0.3283,0.0094,0.0348,-0.0594,
0.4100,-0.0099,-0.0209,0.3287,0.0099,0.0407,-0.0690,
0.4117,-0.0086,-0.0256,0.3290,0.0104,0.0462,-0.0788,
0.4133,-0.0072,-0.0303,0.3291,0.0108,0.0513,-0.0883,
0.4150,-0.0059,-0.0349,0.3291,0.0111,0.0560,-0.0971,
0.4167,-0.0048,-0.0393,0.3288,0.0112,0.0603,-0.1048,
0.4183,-0.0039,-0.0435,0.3284,0.0112,0.0643,-0.1109,
0.4200,-0.0033,-0.0473,0.3276,0.0109,0.0679,-0.1151,
0.4217,-0.0030,-0.0507,0.3266,0.0105,0.0710,-0.1170,
0.4233,-0.0032,-0.0536,0.3253,0.0097,0.0737,-0.1165,
0.4250,-0.0037,-0.0559,0.3237,0.0088,0.0758,-0.1134,
0.4267,-0.0048,-0.0577,0.3218,0.0075,0.0773,-0.1076,
0.4283,-0.0063,-0.0588,0.3195,0.0060,0.0782,-0.0990,
0.4300,-0.0083,-0.0592,0.3170,0.0041,0.0782,-0.0878,
0.4317,-0.0108,-0.0590,0.3141,0.0020,0.0775,-0.0742,
0.4333,-0.0138,-0.0582,0.3110,-0.0005,0.0758,-0.0585,
0.4350,-0.0171,-0.0568,0.3077,-0.0032,0.0732,-0.0409,
0.4367,-0.0208,-0.0548,0.3042,-0.0062,0.0695,-0.0219,
